MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
"Competência: JUN/2016, MAI/2016, ABR/2016, MAR/2016, FEV/2016, JAN/2016."
Tipo de Produção: Visita Domiciliar.
Tipo de Equipe: Eq. Ag. Com. de Saúde - EACS.
"Categoria Profissional: Agente comunitário de saúde, Agente de combate a endemias, Agente de saúde, Assistente Social, Cirurgião dentista, Educador social, Enfermeiro, Farmacêutico, Fisioterapeuta, Fonoaudiólogo, Médico, Médico veterinário, Nutricionista, Outros prof. de nível médio, Outros prof. de nível superior, Profissional de educação física, Psicólogo, Sanitarista, Técnico e auxiliar de enfermagem, Técnico e auxiliar de saúde bucal, Terapeuta ocupacional, Naturólogo, Musicoterapeuta, Arteterapeuta."


Uf;Ibge;Municipio;Agente comunitário de saúde;Agente de combate a endemias;Agente de saúde;Assistente Social;Cirurgião dentista;Educador social;Enfermeiro;Farmacêutico;Fisioterapeuta;Fonoaudiólogo;Médico;Médico veterinário;Nutricionista;Outros prof. de nível médio;Outros prof. de nível superior;Profissional de educação físic;Psicólogo;Sanitarista;Técnico e auxiliar de enfermag;Técnico e auxiliar de saúde bu;Terapeuta ocupacional;Naturólogo;Musicoterapeuta;Arteterapeuta;
PI;221060;SÃO RAIMUNDO NONATO;11.132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
RS;431900;SÃO MARCOS;414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
TO;171620;PARANÃ;773;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
AM;130130;CODAJÁS;1.396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
PR;412215;RIO BONITO DO IGUAÇU;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
AL;270930;UNIÃO DOS PALMARES;18.141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
BA;293210;UBAÍRA;4.606;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
MA;211130;SÃO LUÍS;150.020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
PR;412080;QUATRO BARRAS;1.341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
PA;150506;NOVO REPARTIMENTO;13.977;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
PA;150310;GURUPÁ;8.547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
PA;150730;SÃO FÉLIX DO XINGU;2.604;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
PA;150285;CURUÁ;8.653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
AL;270670;PENEDO;9.519;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
AM;130280;MARAÃ;3.014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
MG;317020;UBERLÂNDIA;5.799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
AM;130430;URUCARÁ;3.496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
PE;261390;SERRA TALHADA;29.551;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
MG;312290;DONA EUSÉBIA;2.510;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
MG;310400;ARAXÁ;3.839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
BA;290200;ARACATU;5.998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
PA;150775;SAPUCAIA;3.733;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
MA;210830;PENALVA;2.629;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
PE;260110;ARARIPINA;8.574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
AM;130195;ITAMARATI;1.847;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
PR;412385;SANTA MARIA DO OESTE;1.227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
MT;510170;BARRA DO BUGRES;216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
MA;210070;ANAJATUBA;771;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
SP;352610;JUQUIÁ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
MT;510615;NOVA BANDEIRANTES;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
MS;500830;TRÊS LAGOAS;35.916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
RS;431510;PORTO XAVIER;1.796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ES;320316;LARANJA DA TERRA;8.132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
